Time	[STAT5]	[STAT5p]	[STAT5p2c]	[data1]	[data2]	[frac_v1]	[frac_v2]	[frac_v4]	[STAT5p2n]	[frac_v3]	Values[r4]	Values[D]	Values[smooth_D]	Values[smooth_D_slope]	Values[smooth_D_offset]
0	1	0	0	0	1	0.840336	0	0	0	0	0	1	1	1	1
0.6	0.708369	0.271094	0.00837484	0.287844	0.996213	0.595268	0.22781	0.0031823	0.00189347	0.0140754	0	0.03831	0.03831	0.06385	0
1.2	0.25179	0.507921	0.073054	0.654029	0.905819	0.211588	0.426824	0.0791441	0.0470907	0.12278	0	0.07662	0.07662	0.06385	0
1.8	0.0449093	0.432804	0.101375	0.635554	0.680463	0.0377389	0.363701	0.268519	0.159769	0.170378	0	0.11493	0.11493	0.06385	0
2.4	0.00337947	0.309592	0.0754089	0.46041	0.463789	0.00283989	0.260161	0.450597	0.268105	0.126738	0	0.16484	0.16484	0.0496	0.0458
3	0.000133022	0.227844	0.0460039	0.319852	0.319985	0.000111783	0.191466	0.571441	0.340007	0.0773174	0	0.1946	0.1946	0.0496	0.0458
3.6	3.06446e-006	0.179016	0.0274501	0.233916	0.233919	2.57517e-006	0.150434	0.643765	0.38304	0.0461347	0	0.22436	0.22436	0.0496	0.0458
4.2	3.63996e-008	0.147362	0.0171393	0.181641	0.181641	3.05879e-008	0.123834	0.687697	0.409179	0.0288055	0	0.29637	0.29637	0.26085	-0.7992
4.8	4.30953e-011	0.125219	0.0114067	0.148033	0.148033	3.62145e-011	0.105226	0.715939	0.425984	0.019171	0	0.45288	0.45288	0.26085	-0.7992
5.4	9.51073e-013	0.108861	0.00806945	0.125	0.125	7.99221e-013	0.0914802	0.735294	0.4375	0.0135621	0	0.60939	0.60939	0.26085	-0.7992
6	-4.6338e-014	0.0962836	0.0060056	0.108295	0.108295	-3.89395e-014	0.0809106	0.749332	0.445853	0.0100934	0	0.7659	0.7659	0.26085	-0.7992
6.6	0.0244121	0.450197	0.0461021	0.542402	0.566814	0.0205143	0.378317	0.364022	0.216593	0.0774826	1.35	0.83613	0.83613	0.11705	0.0636
7.2	0.0160207	0.478508	0.0934107	0.66533	0.68135	0.0134628	0.402108	0.267773	0.159325	0.156993	1.35	0.90636	0.90636	0.11705	0.0636
7.8	0.0143111	0.465523	0.105382	0.676287	0.690598	0.0120261	0.391196	0.260002	0.154701	0.177112	1.35	0.97659	0.97659	0.11705	0.0636
8.4	0.0144186	0.460527	0.106342	0.673211	0.687629	0.0121165	0.386998	0.262496	0.156185	0.178726	1.35	0.9721	0.9721	-0.06975	1.558
