Time	[STAT5]	[STAT5p]	[STAT5p2c]	[data1]	[data2]	[frac_v1]	[frac_v2]	[frac_v4]	[STAT5p2n]	[frac_v3]	Values[r4]	Values[D]	Values[smooth_D]	Values[smooth_D_slope]	Values[smooth_D_offset]
0	1	0	0	0	1	5.45994	0	0	0	0	0	1	1	1	1
0.6	0.164894	0.585649	0.0892259	0.764101	0.928995	0.900311	3.19761	0.387683	0.0355025	0.974336	0	1.6	1.6	1	1
1.2	0.0118337	0.421036	0.121352	0.663739	0.675573	0.0646111	2.29883	1.77135	0.162213	1.32515	0	2.2	2.2	1	1
1.8	0.000369613	0.286301	0.0826829	0.451667	0.452036	0.00201806	1.56319	2.99185	0.273982	0.902887	0	2.8	2.8	1	1
2.4	8.38451e-005	0.213267	0.0492017	0.311671	0.311755	0.000457789	1.16443	3.75778	0.344123	0.537277	0	0.16484	0.16484	0.0496	0.0458
3	6.53521e-005	0.169825	0.0293817	0.228588	0.228653	0.000356818	0.927231	4.2115	0.385673	0.320844	0	0.1946	0.1946	0.0496	0.0458
3.6	4.88789e-005	0.141089	0.0184303	0.177949	0.177998	0.000266876	0.770336	4.48808	0.411001	0.201256	0	0.22436	0.22436	0.0496	0.0458
4.2	3.47394e-005	0.120672	0.0122996	0.145272	0.145306	0.000189675	0.658864	4.66657	0.427347	0.13431	0	0.29637	0.29637	0.26085	-0.7992
4.8	2.06653e-005	0.105421	0.00870963	0.12284	0.122861	0.000112831	0.575591	4.78912	0.43857	0.0951081	0	0.45288	0.45288	0.26085	-0.7992
5.4	9.89507e-006	0.0935918	0.00648457	0.106561	0.106571	5.40265e-005	0.511005	4.87807	0.446715	0.0708107	0	0.60939	0.60939	0.26085	-0.7992
6	3.81376e-006	0.0841472	0.00502425	0.0941957	0.0941995	2.08229e-005	0.459438	4.94561	0.4529	0.0548642	0	0.7659	0.7659	0.26085	-0.7992
6.6	0.0971345	0.144224	0.00635074	0.156926	0.25406	0.530348	0.787457	4.07278	0.37297	0.0693493	0.346199	0.92241	0.92241	0.26085	-0.7992
7.2	0.0981783	0.23913	0.0173676	0.273865	0.372044	0.536047	1.30564	3.4286	0.313978	0.189652	0.346199	1.07892	1.07892	0.26085	-0.7992
7.8	0.0788762	0.293201	0.0336112	0.360424	0.4393	0.430659	1.60086	3.06139	0.28035	0.367031	0.346199	1.23543	1.23543	0.26085	-0.7992
8.4	0.0784434	0.299211	0.0442591	0.387729	0.466172	0.428296	1.63367	2.91466	0.266914	0.483304	0.346199	0.9721	0.9721	-0.06975	1.558
9	0.0821161	0.298244	0.0476286	0.393501	0.475617	0.448349	1.62839	2.8631	0.262191	0.520098	0.346199	0.93025	0.93025	-0.06975	1.558
9.6	0.0851661	0.297255	0.0485718	0.394399	0.479565	0.465001	1.623	2.84154	0.260217	0.530397	0.346199	0.8884	0.8884	-0.06975	1.558
10.2	0.0884725	0.296172	0.04865	0.393472	0.481944	0.483054	1.61708	2.82855	0.259028	0.531252	0.346199	0.85274	0.85274	-0.0388	1.2485
10.8	0.0911061	0.295819	0.048536	0.392891	0.483997	0.497433	1.61515	2.81734	0.258001	0.530006	0.346199	0.82946	0.82946	-0.0388	1.2485
11.4	0.0934546	0.295538	0.0484389	0.392416	0.485871	0.510256	1.61362	2.80711	0.257065	0.528947	0.346199	0.80618	0.80618	-0.0388	1.2485
12	0.0958248	0.295113	0.0483272	0.391767	0.487592	0.523198	1.6113	2.79771	0.256204	0.527727	0.346199	0.7829	0.7829	-0.0388	1.2485
12.6	0.10031	0.29299	0.0480199	0.389029	0.489339	0.547684	1.5997	2.78818	0.255331	0.524371	0.346199	0.71918	0.71918	-0.1062	2.0573
13.2	0.107386	0.289833	0.0472936	0.38442	0.491806	0.586319	1.58247	2.77471	0.254097	0.51644	0.346199	0.65546	0.65546	-0.1062	2.0573
13.8	0.116134	0.2866	0.0463669	0.379334	0.495468	0.634085	1.56482	2.75471	0.252266	0.506321	0.346199	0.59174	0.59174	-0.1062	2.0573
14.4	0.123918	0.285364	0.0455051	0.376374	0.500292	0.676585	1.55807	2.72838	0.249854	0.49691	0.346199	0.58074	0.58074	0.0256	0.2121
15	0.125246	0.28858	0.0455959	0.379772	0.505018	0.683834	1.57563	2.70257	0.247491	0.497901	0.346199	0.5961	0.5961	0.0256	0.2121
15.6	0.123492	0.291726	0.0463397	0.384405	0.507897	0.674259	1.5928	2.68685	0.246051	0.506024	0.346199	0.61146	0.61146	0.0256	0.2121
16.2	0.121618	0.292888	0.047087	0.387062	0.508681	0.664029	1.59915	2.68257	0.24566	0.514184	0.346199	0.59263	0.59263	-0.14535	2.9473
16.8	0.128971	0.286572	0.0466417	0.379855	0.508826	0.704174	1.56466	2.68178	0.245587	0.509321	0.346199	0.50542	0.50542	-0.14535	2.9473
17.4	0.143919	0.277825	0.0448056	0.367436	0.511354	0.785787	1.5169	2.66797	0.244323	0.489271	0.346199	0.41821	0.41821	-0.14535	2.9473
18	0.16507	0.268092	0.0422999	0.352692	0.517762	0.901271	1.46377	2.63299	0.241119	0.46191	0.346199	0.331	0.331	-0.14535	2.9473
18.6	0.183526	0.26435	0.0400293	0.344408	0.527934	1.00204	1.44333	2.57745	0.236033	0.437114	0.346199	0.33334	0.33334	0.0039	0.2608
19.2	0.192854	0.267282	0.0394272	0.346136	0.53899	1.05297	1.45934	2.51709	0.230505	0.43054	0.346199	0.33568	0.33568	0.0039	0.2608
19.8	0.196546	0.27133	0.0399795	0.351289	0.547835	1.07313	1.48144	2.46879	0.226083	0.436572	0.346199	0.33802	0.33802	0.0039	0.2608
20.4	0.197475	0.274268	0.0408693	0.356007	0.553482	1.0782	1.49749	2.43796	0.223259	0.446287	0.346199	0.336624	0.336624	-0.00544	0.4476
21	0.198028	0.2754	0.0415353	0.358471	0.556499	1.08122	1.50367	2.42149	0.221751	0.45356	0.346199	0.33336	0.33336	-0.00544	0.4476
21.6	0.198743	0.275539	0.0418592	0.359258	0.558001	1.08513	1.50443	2.41329	0.221	0.457097	0.346199	0.330096	0.330096	-0.00544	0.4476
22.2	0.199735	0.275243	0.0419385	0.35912	0.558855	1.09054	1.50281	2.40863	0.220573	0.457963	0.346199	0.326832	0.326832	-0.00544	0.4476
22.8	0.200969	0.274803	0.0418854	0.358574	0.559543	1.09728	1.50041	2.40487	0.220229	0.457384	0.346199	0.323568	0.323568	-0.00544	0.4476
23.4	0.202373	0.274347	0.0417758	0.357899	0.560272	1.10494	1.49792	2.40089	0.219864	0.456187	0.346199	0.320304	0.320304	-0.00544	0.4476
24	0.203883	0.273917	0.04165	0.357217	0.5611	1.11319	1.49557	2.39637	0.21945	0.454812	0.346199	0.31704	0.31704	-0.00544	0.4476
24.6	0.205455	0.273516	0.0415246	0.356565	0.562019	1.12177	1.49338	2.39135	0.21899	0.453443	0.346199	0.313776	0.313776	-0.00544	0.4476
25.2	0.207492	0.272736	0.0413906	0.355518	0.56301	1.13289	1.48912	2.38594	0.218495	0.45198	0.346199	0.301161	0.301161	-0.052196	1.6165
25.8	0.214778	0.268147	0.0407631	0.349673	0.564451	1.17267	1.46407	2.37807	0.217774	0.445128	0.346199	0.269843	0.269843	-0.052196	1.6165
26.4	0.227246	0.261609	0.0393932	0.340395	0.567641	1.24075	1.42837	2.36065	0.216179	0.430169	0.346199	0.238526	0.238526	-0.052196	1.6165
27	0.243875	0.254341	0.0375919	0.329525	0.573401	1.33154	1.38869	2.32921	0.2133	0.410499	0.346199	0.207208	0.207208	-0.052196	1.6165
27.6	0.26433	0.246398	0.0355629	0.317524	0.581854	1.44322	1.34532	2.28305	0.209073	0.388342	0.346199	0.17589	0.17589	-0.052196	1.6165
28.2	0.28881	0.237387	0.0333431	0.304073	0.592882	1.57688	1.29612	2.22284	0.203559	0.364102	0.346199	0.144573	0.144573	-0.052196	1.6165
28.8	0.317968	0.226711	0.0308737	0.288459	0.606426	1.73608	1.23783	2.14889	0.196787	0.337137	0.346199	0.113255	0.113255	-0.052196	1.6165
29.4	0.352898	0.213596	0.0280535	0.269703	0.6226	1.9268	1.16622	2.06058	0.1887	0.306341	0.346199	0.0819376	0.0819376	-0.052196	1.6165
30	0.395204	0.196982	0.0247653	0.246512	0.641716	2.15779	1.07551	1.95621	0.179142	0.270433	0.346199	0.05062	0.05062	-0.052196	1.6165
30.6	0.438515	0.182848	0.0213258	0.225499	0.664014	2.39427	0.998337	1.83446	0.167993	0.232875	0.346199	0.0490852	0.0490852	-0.002558	0.12736
31.2	0.475186	0.17519	0.0188155	0.212821	0.688007	2.59449	0.956525	1.70346	0.155996	0.205462	0.346199	0.0475504	0.0475504	-0.002558	0.12736
31.8	0.5057	0.171135	0.0172764	0.205687	0.711388	2.76109	0.934384	1.57581	0.144306	0.188656	0.346199	0.0460156	0.0460156	-0.002558	0.12736
32.4	0.53086	0.169007	0.0164021	0.201811	0.732671	2.89846	0.922768	1.4596	0.133664	0.179109	0.346199	0.0444808	0.0444808	-0.002558	0.12736
33	0.551593	0.167812	0.0159183	0.199648	0.751241	3.01166	0.916241	1.35821	0.12438	0.173826	0.346199	0.042946	0.042946	-0.002558	0.12736
33.6	0.568804	0.166967	0.0156374	0.198241	0.767045	3.10563	0.911627	1.27192	0.116477	0.170758	0.346199	0.0414112	0.0414112	-0.002558	0.12736
34.2	0.583302	0.166145	0.015443	0.197031	0.780333	3.18479	0.907143	1.19937	0.109833	0.168636	0.346199	0.0398764	0.0398764	-0.002558	0.12736
34.8	0.595767	0.165179	0.0152681	0.195715	0.791482	3.25285	0.901866	1.1385	0.104259	0.166726	0.346199	0.0383416	0.0383416	-0.002558	0.12736
35.4	0.606749	0.163992	0.0150768	0.194146	0.800894	3.31281	0.895385	1.0871	0.0995528	0.164637	0.346199	0.0368068	0.0368068	-0.002558	0.12736
36	0.616682	0.162561	0.0148525	0.192266	0.808948	3.36704	0.887573	1.04313	0.0955262	0.162188	0.346199	0.035272	0.035272	-0.002558	0.12736
36.6	0.625899	0.160891	0.0145895	0.19007	0.815968	3.41737	0.878452	1.0048	0.0920158	0.159316	0.346199	0.0337372	0.0337372	-0.002558	0.12736
37.2	0.634653	0.158996	0.0142883	0.187573	0.822226	3.46517	0.868111	0.970634	0.0888869	0.156026	0.346199	0.0322024	0.0322024	-0.002558	0.12736
37.8	0.643134	0.156898	0.0139519	0.184802	0.827936	3.51147	0.856654	0.939458	0.0860319	0.152353	0.346199	0.0306676	0.0306676	-0.002558	0.12736
38.4	0.651482	0.154614	0.0135846	0.181783	0.833266	3.55705	0.844184	0.910359	0.0833672	0.148342	0.346199	0.0291328	0.0291328	-0.002558	0.12736
39	0.659801	0.15216	0.0131906	0.178541	0.838342	3.60247	0.830781	0.882642	0.0808289	0.144039	0.346199	0.027598	0.027598	-0.002558	0.12736
39.6	0.668169	0.149545	0.0127736	0.175093	0.843262	3.64816	0.816508	0.855782	0.0783692	0.139486	0.346199	0.0260632	0.0260632	-0.002558	0.12736
40.2	0.676604	0.146816	0.0123375	0.171491	0.848095	3.69422	0.801603	0.829392	0.0759525	0.134724	0.346199	0.0247718	0.0247718	-0.001341	0.07868
40.8	0.684663	0.144384	0.0119127	0.16821	0.852872	3.73821	0.78833	0.803307	0.0735638	0.130086	0.346199	0.0239672	0.0239672	-0.001341	0.07868
41.4	0.692242	0.142238	0.0115311	0.165301	0.857543	3.7796	0.776613	0.777807	0.0712286	0.125918	0.346199	0.0231626	0.0231626	-0.001341	0.07868
42	0.699404	0.140259	0.0111896	0.162638	0.862042	3.8187	0.765804	0.753242	0.068979	0.122189	0.346199	0.022358	0.022358	-0.001341	0.07868
42.6	0.706216	0.138365	0.0108767	0.160119	0.866335	3.8559	0.755466	0.729803	0.0668326	0.118772	0.346199	0.0215534	0.0215534	-0.001341	0.07868
43.2	0.712747	0.136505	0.0105815	0.157668	0.870416	3.89156	0.745311	0.707522	0.0647921	0.115548	0.346199	0.0207488	0.0207488	-0.001341	0.07868
43.8	0.719062	0.134644	0.010296	0.155236	0.874298	3.92603	0.735147	0.686325	0.062851	0.11243	0.346199	0.0199442	0.0199442	-0.001341	0.07868
44.4	0.725219	0.132758	0.0100147	0.152787	0.878006	3.95965	0.724848	0.666079	0.060997	0.109359	0.346199	0.0191396	0.0191396	-0.001341	0.07868
